id	text	label
train_000030	"máy này có cái CPU k phải skylake là thấy không hay rồi"	1
train_000031	Hàng vận chuyển bị nứt mẻ 1 góc.chất lượng ok.	0
train_000032	Sạc tự động ngắt pin	1
train_000033	Shop giao hàng kh giống màu	1
train_000034	Shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối. Đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt ko sd được. Chat shop ko tl đến lúc khách nhấn hoàn hàng mới tl sơ sài và ko đồng ý hoàn. Rất thất vọng về cách làm việc của Shop. May mà Shopee lấy lại công bằng và hoàn tiền.	1
train_000035	khong thay den sang	1
train_000036	So với giá thì chất lượng tuyệt vời. capo khá chắc chắn và đẹp	0
train_000037	Không cầm pin. Không sử dụng được Chất lượng sản phẩm rất kém	1
train_000038	Những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả , xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí .	1
train_000039	Shop phục vụ rất tốt. Thời gian giao hàng rất nhanh	0
train_000040	Sản phẩm tốt hỗ trợ khách hàng nhiệt tình	0
train_000041	Giày đẹp mang êm và vừa chân lắm nha shop.	0
train_000042	Chất liệu và kiểu dáng thì được nhưng quần hơi ngắn	1
train_000043	hàng bị lỗi nhiều quá màn hình cháy phim bị bong	1
train_000044	Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài...	0
train_000045	Chưa dùng nhưng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi. Có 1 góp ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều k ổn.	0
train_000046	Uống rất ngon Giao hàng nhanh Chất lượng sản phẩm tuyệt vời .....................😋😋😋😋......................	0
train_000047	Shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy. Các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài	1
train_000048	Rẻ lầm chất lượng lém	0
train_000049	Huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao!	1
train_000050	Đóng gói sản phẩm rất kémTư vấn k nhiệt tình	1
train_000051	Sản phẩm tốt ưng ý!	0
train_000052	E xay đá mà bị gãy ko xay dc ạ	1
train_000053	Sản phẩm rất đẹp. Y hình và chất lượng rất tuyệt vời. Mik mua một lúc 5 đôi luôn. Mik sẽ ủng hộ shop dài dài	0
train_000054	Sản phẩm không an toàn quá nguy hiểm cho người sử dụng. Không đáng để mua sp này. Quá sai lầm khi mua	1
train_000055	Thời gian giao hàng lâu. Đặt mũ len mèo màu ghi xám lại giao màu vàng. Khẩu trang xô mỏng tang.K biết có phải do giá sale k mà chất lượng chán thế.	1
train_000056	Chất lượng sản phẩm tuyệt vời Hơi cũ tí nhưng mượt lắm thanks shop	0
train_000057	Sản phẩm k như mình mong đợi..k cài dc đồ chơi vào..ghế hơi bất tiện khi sử dụng	1
train_000058	Hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui .	1
train_000059	Đóng gói sản phẩm rất chắc chắn. Sản phẩm rất dày dặn. Thời gian giao hàng rất nhanh.	0
train_000060	Áo vs giày siêu yêu ạ	0
train_000061	mang đi công tác rất tiện lợi dùng rất mượt ko lo bị trầy xước	0
train_000062	Chất lượng quá kém giao hàng không đúng mẫu . Khuyên mọi người không nên mua hàng của shop	1
train_000063	Đặt lần 2 rồi mà giao hàng lâu quá vậy ???	1
train_000064	Khăn dày đẹp.	0
train_000065	Đặt tat bé giao tat nguoi lon .giao lộn hỏi k tl	1
train_000066	Mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm	1
train_000067	-Giao hàng rất nhanh <3 <3 gói hàng siêu kĩ luôn -Son thơm mùi sữa cacao ghiền luôn á =3333 vỏ son nhìn cưng ghê màu son siêu đẹp chất son rất lì như son kem nên dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc =)))	0
train_000068	Đánh 1* vì không có 0*.Đặt 3 gói Monny L44 tt thẻ ở tp HCM nhưng 1 tuần mới nhận đc gói hàng bằng 1 túi nilong do người nhà nhận dùm khi mình kiểm tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi dt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu.	1
train_000069	Thời gian giao hàng rất nhanh shop phuc vụ quá qua tệ hang bị hư hại ma hong lời giai quyết .người khác da the ma nguoi kia cũng vay hong chu đáo can xem xet lại khi mau hàng shop nay nha cac ban	0
train_000070	Đẹp thích hết	0
train_000071	Kem dùng ổn mỗi tội hơi tối do với da mình	0
train_000072	Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt	0
train_000073	Good value for money Good value for money Fast delivery Excellent service by seller	0
train_000074	Chất lượng sản phẩm tốt Đóng gói sản phẩm rất cẩn thận và chắc chắn Thời gian giao hàng rất nhanh	0
train_000075	Chị chủ tư vấn rất nhiệt tình 😆😆 hình dáng và chất lượng sản phẩm tuyệt vời	0
train_000076	SHOP ĐĂNG ẢNH MỘT ĐẰNG SẢN PHẨM MỘT LẺO .BÁN CÁP THÌ ÚP HÌNH CÁI CÁP THÔI CHỨ UP CẢ CỤC SẠC GÂY NHẦM LẪN CHO KHÁCH HÀNG LÀ COMBO CÁP+ DÂY SẠC. TÔI MUA LIỀN 2 CÁI LÚC NHẬN HÀNG MỚI NGỚ NGƯỜI RA BỊ MUA ĐẮT. CHẤT LƯỢNG SẢN PHẨM CHƯA RÕ.	1
train_000077	Chất lượng sản phẩm tuyệt vời. Shop tư vấn nhiệt tình ạ <3 sẽ ủng hộ shop dài dài.	0
train_000078	Poor delivery speed Poor product quality	1
train_000079	Đúng là tiền nào của đó ko ngon mùi kì kì ko thơm như lạp xưởng bình thường! Thất vọng vô cùng!!!	1
train_000080	Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà sẽ ủng hộ tiếp...	0
train_000081	Giày Ok lắm shop ship hàng nhanh nữa ❤️	0
train_000082	Chất lượng sản phẩm tuyệt vời.rất OK	0
train_000083	Giày chắc chắn . Đế hơi bẩn tí nhưng chắc sẽ lau được . Giao hàng nhanh	0
train_000084	Hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi. Nhắn tin ko trả lời	1
train_000085	Shop hết hàng nhưng không báo. Mình đặt 1 cặp thế mà gởi chỉ 1 ốp kèm theo tiền ốp kja. Thanh toán mở hàng ra xem thì chỉ có 1 ốp và số tiền đã thanh toán. Xài cặp thế giờ có 1 ốp thì sao đây. Mình chỉ góp ý vậy thôi	1
train_000086	Giao ko đúng Đồ. Tôi đã bị lừa	1
train_000087	hk giong mẩu gì cả da vay bi lỗi nua	1
train_000088	Tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này :) thanks shop nha	0
train_000089	Dép xinh. Chủ shop rep tn rất nhiệt tình. Chúc shop buôn may bán đắt ạ.	0
train_000090	Mua 2đ có 2 lỗ xỏ dây ib shop kh trả lời giày rộng mn cân nhắc trc khi mua.	1
train_000091	Tốt tgian giao hàng nhanh	0
train_000092	Nên mua nha mọi người	0
train_000093	Thấy ghi đc tặng kèm tã quần.đến khi nhận hàng thì k thấy.hỏi shop thì nói k có.	1
train_000094	Shop phục vụ rất kém. Đã phải nhắn tin hỏi cẩn thận là còn k. Shop nói còn mà gửi màu sai.	1
train_000095	Shop phục vụ rất tốt. Sản phẩm đúng với thông tin đăng tải.	0
train_000096	Đặt combo mà shop chỉ giao bánh gạo và sốt k thấy phô mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả lời. Shop phục vụ rất kém	1
train_000097	Shop này uy tín nè hàng đã đẹp mà còn đầy đủ hộp + pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá :)	0
train_000098	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. Hàng Giao Dung mẫu chọn. Chất vải dẹp	0
train_000099	Sản phẩm k như quảng cáo là 9058 liên hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng đài báo:số đt không có.Hãi vãi!	1
train_000100	Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm.	0
train_000101	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh lại còn được thêm quà tặng kèm. Shop phục vụ rất tốt !	0
train_000102	ngọt wá. cay wá. ướt wá tạm đc. đúng với giá tiền	1
train_000103	Chưa xài nhưng shop nhiệt tình giao hàng nhanh đóng gói đẹp nên cho 5*	0
train_000104	Mui khoan xài mau lúc qua	1
train_000105	Trước mắt dùng tốt	0
train_000106	Sản phẩm tốt. Mẫu mã đẹp Chất lượng sản phẩm tuyệt vời	0
train_000107	sản phẩm kém chất lượng độ sáng yếu pin không cầm sáng hoài không tắt công suất 15w thua bóng 9w nữa hàng kém chất lượng	1
train_000108	Sản phẩm tốt.. Xài rất ưng ý	0
train_000109	Đóng gói sản phẩm rất đẹp và chắc chắn Tuy nhiên sản phẩm ko đc như mong đợi của mình lắm Thời gian giao hàng rất nhanh	0
train_000110	Hạt giống k nảy mầm	1
train_000111	Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Shop có tâm máy dùng thích	0
train_000112	rẻ hơn khi mua sieu thị nè Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh	0
train_000113	Sp ok lam an uy tin. Goi hang can than. Giao hang nhanh	0
train_000114	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp e sẽ ủng hộ shop nhiều hơn😁😁	0
train_000115	TOÀN HÀNG FAKE. MASK RẺ TIỀN BÁN HÀNG CÓ TÂM MỘT CHÚT ĐI	1
train_000116	hàng ko đúng chất lượng	1
train_000117	Chất lượng sản phẩm rất kém.thô.	1
train_000118	Chất lượng sản phẩm tuyệt vời Giao hàng bao nhanh nhé dù ở tpHCM shop ngoài Đà Nẵng nhưng chỉ mất 2 ngày kể từ lúc đặt. Chúc shop mua may bán đắt	0
train_000119	San Pham tuyet voi.. Giay ray Dep.. Cho 5sao luon nha shop	0
train_000120	mua 2 cục lap vao ko có tính hiêu . đều ko dùng được	1
train_000121	Chất lượng sản phẩm rất kém. Mua 3 đôi k vừa 1 đôi mà kêu size chuẩn.	1
train_000122	Chất lượng sản phẩm kém luoi bọc quat nhỏ wa ko dung đc	1
train_000123	Giày đẹp quá thể ❤️. Ưng lắm lắm. Sẽ ủng hộ shop dài dài. 💋💋. Chất đẹp còn hơn cả ảnh nữa. Yêu yêu 💋💋	0
train_000124	Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.chất lượng chưa dùng nên chưa biết hiệu quả k. 😘😘	0
train_000125	Đóng gói sản phẩm rất đẹp và chắc chắn. Chúc shop đắt khách nha 🎉🎉🎉🎉	0
train_000126	Đồng hồ đẹp lắm chúc shop bán đắt nhé	0
train_000127	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm tốt Shop phục vụ tận tình	0
train_000128	Vừa sắm em M905, thấy nói ngon nhưng mới xài nên chưa đánh giá được...cảm nhận qua: đầm tay, chọn điểm click chính xác, wheel lăn 2 chế độ (trơn và cà nhắc) rất hay.. Giá: 1,699 tr. Mua của Trần Anh - Hà nôi	0
train_000129	"ôi cái cấu hình đt " mạnh kinh ""	1
train_000130	Chất lượng sản phẩm rất kém. Nhìn hàng vừa nhận mà chỉ mun vứt đi như hàng dùng rồi mà vẫn còn ship dc cho khách. Làm ăn thất đức	1
train_000131	Son rất đẹp thơm mùi trái cây	0
train_000132	Đóng gói sản phẩm rất kém Bánh tráng như bị ỉu và nghe mùi chua Đề nghị bồi thuờng lại cho bên e	1
train_000133	Đóng gói sản phẩm rất đẹp và chắc chắn. Quà tặng kèm siêu dễ thương ah. Sẽ còn mua lại	0
train_000134	Váy nhỏ sao với kích thước bé nhà mình 19kg đã chon size lớn nhất nhưng vẫn hok vừa!!! Hic	1
train_000135	Bình thường mang 38 vừa ma giờ mua 38 mang rộng như 40 vậy. Chất liệu không êm.. 😖😖	1
train_000136	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt . Chất lượng sản phẩm tuyệt vời. Lần sau mình sẽ ủng hộ tiếp !	0
train_000137	"tuyệt vời ông mặt trời!"	0
train_000138	Sản phẩm giống hình. Giao hàng nhanh. Chất lượng thì chưa biết	0
train_000139	Giày giống hình nhưng đặt mua màu xám lại giao màu đỏ. Không hài lòng	1
train_000140	Giao hàng không có hai miếng hít chỉ có cái giá nhựa không biết phải làm sao...	1
train_000141	Chất lượng sp kém Shop phục vụ k nhiệt tình Hàng lỗi shop k cho đổi Z cũng nói bảo hành	1
train_000142	Mua Hồng ship Đen :)	1
train_000143	"Khung viền kim loại thì máy chắc chắn hơn rồi, mà có hỗ trợ cả 4G thì cập nhật kịp thời r"	0
train_000144	Phát sóng mạnh và xa. Đáng mua	0
train_000145	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn son lên màu chuẩn chất son mịn mượt k khô môi! Rất ưng. Sẽ ủng hộ shop lần sau	0
train_000146	Đóng gói max cẩn thận chất lượng khỏi bàn 💯	0
train_000147	Máy dỏm nâng giá cao lên rồi hạ giá khuyến mãi rất thất vọng	1
train_000148	Rất thơm. Mùi dịu ngọt dễ chịu. Chị chủ shop dễ thương tư vấn nhiệt tình ^_^	0
train_000149	Mình mua bộ này trong đợt sale 99k của Tiki hàng giao chậm vì bị cháy hàng thì không sao. Nhưng chất lượng SP thì khác hoàn toàn so với các lần mình mua trước đó ở Siêu thị. Dầu gội thì lỏng và không thơm như bình thường hay dùng dầu xả thì có mùi kì lạ chua chua gì đó xộc lên mỗi lần lấy ra dùng.Nói chung là cảm giác như không phải chính hãng vậy đó.	1
train_000150	Áo đẹp. Lông mịn. Nói chung là rất ưng ý và Rất đáng tiền	0
train_000151	ko ngon	1
train_000152	k như QC jờ mới lắp keu rất bé dc đổi lại thì tốt.	1
train_000153	Giày chất rất ổn giao hàng hơi lâu chút. Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền	0
train_000154	san pham khac so voi hinh mau.quan din dau nhot.vai mong	1
train_000155	đã mua, chưa bít kq ra sao, tuy nhiên ko có ghi shopee ở ngoài, bên trong ok,thanks Thời gian giao hàng rất nhanh	0
train_000156	Shop giao hàng nhanh. Son màu cam sáng nên chất hơi bột lên màu chuẩn và có màu bám lại sau khi chùi.	0
train_000157	Cảm ơn shop giao hàng rất nhanh trong 2 gói thì m thích gói khô gà lá chanh hơn khô và thơm. Sẽ ủng hộ shop thêm Đóng gói sản phẩm rất đẹp và chắc chắn	0
train_000158	"cái này đc đấy, mình thích đồ chính hãng."	0
train_000159	Dong ho sai duoc	1
train_000160	Đặt trong ảnh là lọ thủy tinh không thấy thương hiệu hay nhãn mác . Nhưng giao là lọ nhựa hiệu hơi lạ . Nhưng không sao viên nghệ ăn dễ ngọt nghe mùi mật ong đúng . Không chắc là hiệu quả vì chỉ mới sử dụng vài viên nhưng nếu có hiệu quả lần tới sẽ mua tiếp ❤️.	0
train_000161	Kêu tặng 7 bịch bánh tráng nhưng chỉ đưa 4 cục kẹo milo	1
train_000162	Chất lượng sản phẩm tuyệt vời 0k	0
train_000163	Chất lượng tốt ! 👍🏻	0
train_000164	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Chất lượng sản phẩm tuyệt vời	0
train_000165	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn. Khá ok	0
train_000166	Mk mua sz 41 mà giao nhầm sz rộng ko đi đc😡	1
train_000167	Chất lượng sản phẩm tốt đóng gói sản phẩm cẩn thận	0
train_000168	Túi chắc chắn. Gói hàng cẩn thận chu đáo	0
train_000169	Thời gian giao hàng rất nhanh có 2 áo trùng kiểu	0
train_000170	Sản phẩm mẫu mã đẹp. Chất lượng sản phẩm thì chưa đánh giá được vì chưa trải qua sử dụng. Shop phục vụ rất tốt, rất nhiệt tình. Thời gian giao hàng cũng khá nhanh 3 ngày đã nhận hàng. Đã check: không biết có phải chính hãng hay không AE xem hình mình update kèm hihi. Thanks shop lần sau ủng hộ nữa	0
train_000171	Chất lượng sản phẩm tuyệt vời đẹp dùng ổn	0
train_000172	Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt	0
train_000173	Hàng đẹp tuyệt vời như hình. Mình ở xa mua cũng sợ nhưng shop gửi hàng đẹp không lỗi giày ko nhăn nheo. Rất hài lòng. Sẽ ủng hộ shop dài dài ạ 😘	0
train_000174	"17cu thì mua lg v10 vừa đẹp mà con dư tiền"	1
train_000175	Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Giày đẹp y hình shop đăng.	0
train_000176	Size 3xl mà 62kg mặc vừa shop gọi điện thoại tư vấn nhiệt tình và chu đáo nhưng sản phẩm ko giống như mô tả sản phẩm vải đẹp nhưng đường chỉ may vắt sổ còn thừa quá nhiều chỉ	1
train_000177	Không hài lòng đã nhắn shop là gửi đồng hồ mặt nhỏ rồi lại gửi mặt lớn to đeo ko đẹp mà mua 3 cái rồi đó	1
train_000178	Chuẩn hàng lắm mn ạhh!!! lên tone nhiều & ko hề lộ vân gì cả nên đố ai biếttt 😍 Ko dính quần áo mình xịt lên quần áo đen cũg k dính	0
train_000179	Shop gói hàng xinh xắn cẩn thận. Đàn nhỏ xinh và âm nghe cũng hay. Mình rất hài lòng	0
train_000180	Bộ khung khó sài lên hình méo mó không đẹp	1
train_000181	Đèn leb shop gửi câu lộn dây... gắn vào xe ko sáng đèn... cần lưu ý hàn cho đúng cực âm dương	1
train_000182	giống hình quảng cáo. đáng tiền	0
train_000183	Rất đáng tiền. Đẹp và y như hình. Shop phục vụ rất tốt	0
train_000184	Hàng chất lượng tốt. Giao hàng nhanh chóng. Shop uy tín	0
train_000185	hang ko thật như hinh ảnh hàng gui là hàng phek ko đúng hàng như shop nói.	1
train_000186	Dầu rất thơm bỏ vào máy phun sương khuếch tán thơm cả phòng luôn. cảm ơn shop đã đem đến một sản phẩm thiết thực	0
train_000187	Giao hàng nhanh sản phẩm đẹp lắm i hình luôn	0
train_000188	Gương hơi mờShop k rep tn Thật sự thất vọng Vẽ lem,loãng Ai mua hàng đừng dựa vào lượng feedback mà mua như mình	1
train_000189	xui xui trúng cây ko có miếng lót ko xài đc	1
train_000190	mình nhập Đúng tên và mật khẩu nhưng không vào được	1
train_000191	Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn	0
train_000192	xấu wa	1
train_000193	Chưa xai chưa biet sao	0
train_000194	Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh. Chất vải hơi mỏng dày thêm tí nữa thì đẹp	0
train_000195	Led sáng ngon. Chất lượng sản phẩm tuyệt vời	0
train_000196	Nói là tích điện nhưng sạc điện không vô......theo mình các bạn không nên mua sản phẩm này mua về tốn tiền mà không sử dụng đượcBán hàng không có tâm.... Chất lượng sản phẩm rất kém	1
train_000197	Mua phi ca tien. cau qua kem	1
train_000198	Đóg gói ko đep	1
train_000199	giao hag z mà cug lộn sai nửa ... dat sai 31 ma giao sai 28 ak	1
train_000200	Ngon giòn đáng tiền nhưng tiền ship hơi cao :))	0
train_000201	Hàng rất tốt ,giao hàng rất nhanh ,và gói hàng rất cẩn thận Cảm ơn shop vì cái giắc DC	0
train_000202	Chất lượng sản phẩm rất kém mùi nhựa rất hôi độc hại nên không dám cho con ngồi. Giờ vứt xó. Mua phí tiền.	1
train_000203	"đang định lên con aiphone 7 mà nghe quảng cáo thiếu nhiều thứ quá chắc không mua, tưởng dùng camera kép, tưởng dùng dual pixel, tưởng dùng flash kép, tưởng bỏ home vậy lý, tưởng nhiều thứ nữa, vậy mà giá trên trời, hjc hjc"	1
train_000204	giày phù hợp giá tiền	0
train_000205	Đóng gói sản phẩm rất đẹp và chắc chắn! Rất đáng tiền!	0
train_000206	Mói dùng mây hôm rât tôt về lâu dài thi chờ xem. Trước mắt hàng chất lượng giá rẻ.	0
train_000207	Đẹp mà đường nét tinh tế lắm	0
train_000208	Mọi người nên mua lạp xưởng tươi của shop Đi nha rất là ngonvà ko bị ngán nữa trên cả sự mong đợi của mình. Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh	0
train_000209	Rất đáng tiền Chất lượng sản phẩm tuyệt vời .thank shop	0
train_000210	Sản phẩm oke	0
train_000211	Giày làm = chất liệu gì mà hôi quá!	1
train_000212	"Tôi xài M7 từ lúc mới ra tới giờ, ko có lý do gì để đổi máy khác, phần cứng và phần mềm rất tuyệt vời. Tôi vô tình làm rớt từ độ cao hơn 1 m ko dưới 10 lần mà giờ sử dụng vẫn ok ngoài cái võ bị xước"	0
train_000213	Sản phẩm đẹp. Đóng gói chắc chắn. Nhưng k có pin dự phòng.	0
train_000214	kém chất lượngmua phí tiền	1
train_000215	Đẹp lắm shop ơi	0
train_000216	đúng sản phẩm lắp tháo dễ dàng giao nhanh	0
train_000217	Đã bỏ thích theo dõi fanpage của tiki gỡ app tiki vì lúc nào phải thấy bản mặt lờ của chi pu	1
train_000218	Chất lượng sản phẩm tuyệt vời. Đồng hồ cứ bị đẹp quá. Rồi lại phải mua thêm 2 cái nữa . 😍😍😍	0
train_000219	Chất lượng sản phẩm tuyệt vời. Mỗi tội đơn vị vận chuyển chậm quá. 5 ngày mới nhận đc ~.~	0
train_000220	Giấy quá mỏng đọc khá là đau đầu. Tên riêng dịch ra tiếng việt đọc hơi... :( Mình thấy mọi người khen nhiều nên mới mua thế mà... thất vọng quá :(	1
train_000221	Khá là ƯNG Với giá này mua được đôi ntn là quá tuyệt rồi	0
train_000222	Nội dung mình không bàn nữa vì sách mình mua tặng bạn thôi chứ cũng chưa đọc bao giờ nhưng mjk bực kinh khủng vì sách quá bẩn luôn>< chưa bao giờ mình bực tiki như vậy luôn ấy.... mong là không gặp đợt hàng nào như vậy nữa...	1
train_000223	Rất đáng tiền cảm ơn sop nhiều nha hang ok lắm hàng dùng đc e sẽ ủng hộ sop lau dài	0
train_000224	Đóng gói sản phẩm rất đẹp và chắc chắn Số đúng chỉ để vào mạng.. chứ không dùng để nghe gọi	0
train_000225	bạn cùng phòng mua shoppe có 260k. mình mua 440k. mà chất liệu k bằng. mới móc có mấy bộ áo dài đã gãy. tưởng tiki bán hàng uy tín nên chấp nhận mua giá cao hơn. nhưng quá thất vọng. k bao giờ mua và giới thiệu tiki nữa	1
